🇫🇷 TV5 MONDE EUROPE HEVC	00!0!2/329453?zyy
🇫🇷 TV5 MONDE HEVC	00!0!2/56932?zyy
🇫🇷 TVM3 HEVC	00!0!2/60100?zyy
🇫🇷 W9 HEVC	00!0!2/60113?zyy
🇫🇷 TF1 SD	00!0!2/56902?zyy
🇫🇷 FRANCE 2 SD	00!0!2/56917?zyy
🇫🇷 FRANCE 3 NOA SD	00!0!2/310626?zyy
🇫🇷 FRANCE 3 SD	00!0!2/56911?zyy
🇫🇷 FRANCE 4 SD	00!0!2/56918?zyy
🇫🇷 FRANCE 5 SD	00!0!2/56919?zyy
🇫🇷 6TER SD	00!0!2/56920?zyy
🇫🇷 AB1 SD	00!0!2/57034?zyy
🇫🇷 AB3 SD	00!0!2/60088?zyy
🇫🇷 ARTE SD	00!0!2/56916?zyy
🇫🇷 BET SD	00!0!2/56899?zyy
🇫🇷 TPMP SD	00!0!2/60094?zyy
🇫🇷 IDF 1 SD	00!0!2/56894?zyy
🇫🇷 KTO SD	00!0!2/323520?zyy
🇫🇷 CARAC 1 SD	00!0!2/60086?zyy
🇫🇷 CARAC 3 SD	00!0!2/60083?zyy
🇫🇷 M6 SD	00!0!2/57012?zyy
🇫🇷 MY CUISINE SD	00!0!2/56914?zyy
🇫🇷 NAUTICAL CHANNEL SD	00!0!2/231647?zyy
🇫🇷 NOVELAS TV SD	00!0!2/56891?zyy
🇫🇷 ONE TV SD	00!0!2/60085?zyy
🇫🇷 PARIS PREMIERE SD	00!0!2/56896?zyy
🇫🇷 RTL 9 SD	00!0!2/56904?zyy
🇫🇷 TEVA SD	00!0!2/56913?zyy
🇫🇷 TL7 SD	00!0!2/310592?zyy
🇫🇷 TMC PLUS 1 SD	00!0!2/333601?zyy
🇫🇷 TREK SD	00!0!2/56897?zyy
🇫🇷 TV BREIZH SD	00!0!2/56901?zyy
🇫🇷 TV5 MONDE SD	00!0!2/56889?zyy
🇫🇷 TVM3 SD	00!0!2/60082?zyy
🇫🇷 W9 SD	00!0!2/60095?zyy
🇫🇷 FRANCE 2 4K UDR	00!0!2/1044110?zyy
🇫🇷 FTV UHD	00!0!2/1044101?zyy
🇫🇷 M6 4K HDR	00!0!2/1044107?zyy
🇫🇷 TF1 4K HDR	00!0!2/1044109?zyy
🇫🇷 BEIN SPORTS 1 FHD	00!0!2/56655?zyy
🇫🇷 BEIN SPORTS 1 HEVC	00!0!2/56580?zyy
🇫🇷 BEIN SPORTS 1 SD	00!0!2/56544?zyy
🇫🇷 BEIN SPORTS 2 FHD	00!0!2/56654?zyy
🇫🇷 BEIN SPORTS 2 FHD²	00!0!2/157012?zyy
🇫🇷 BEIN SPORTS 2 HEVC	00!0!2/56579?zyy
🇫🇷 BEIN SPORTS 2 SD	00!0!2/56543?zyy
🇫🇷 BEIN SPORTS 3 FHD	00!0!2/56653?zyy
🇫🇷 BEIN SPORTS 3 HEVC	00!0!2/56578?zyy
🇫🇷 BEIN SPORTS 3 SD	00!0!2/56542?zyy
🇫🇷 BEIN SPORTS MAX 4 FHD	00!0!2/62502?zyy
🇫🇷 BEIN SPORTS MAX 5 FHD	00!0!2/62501?zyy
🇫🇷 BEIN SPORTS MAX 6 FHD	00!0!2/62500?zyy
🇫🇷 BEIN SPORTS MAX 7 FHD	00!0!2/62499?zyy
🇫🇷 BEIN SPORTS MAX 8 FHD	00!0!2/62498?zyy
🇫🇷 BEIN SPORTS MAX 9 FHD	00!0!2/62497?zyy
🇫🇷 BEIN SPORTS MAX 10 FHD	00!0!2/211992?zyy
🇫🇷 CANAL + SPORT FHD	00!0!2/56644?zyy
🇫🇷 CANAL + SPORT HEVC	00!0!2/56569?zyy
🇫🇷 CANAL + SPORT SD	00!0!2/56533?zyy
🇫🇷 CANAL+ 360 FHD	00!0!2/311207?zyy
🇫🇷 CANAL+ 360 HEVC	00!0!2/311208?zyy
🇫🇷 CANAL+ 360 SD	00!0!2/311209?zyy
🇫🇷 CANAL+ FOOT FHD	00!0!2/311116?zyy
🇫🇷 CANAL+ FOOT HD	00!0!2/853546?zyy
🇫🇷 CANAL+ FOOT HEVC	00!0!2/311117?zyy
🇫🇷 CANAL+ FOOT SD	00!0!2/311118?zyy
🇫🇷 CANAL+ PREMIER LEAGUE FHD	00!0!2/203876?zyy
🇫🇷 CANAL+ PREMIER LEAGUE HEVC	00!0!2/203880?zyy
🇫🇷 CANAL+ PREMIER LEAGUE SD	00!0!2/203881?zyy
🇫🇷 GOLF FHD	00!0!2/330263?zyy
🇫🇷 GOLF HEVC	00!0!2/330262?zyy
🇫🇷 GOLF+ FHD	00!0!2/56636?zyy
🇫🇷 GOLF+ HEVC	00!0!2/56561?zyy
🇫🇷 GOLF+ SD	00!0!2/56525?zyy
🇫🇷 INFO SPORT+ FHD	00!0!2/56641?zyy
🇫🇷 INFO SPORT HEVC	00!0!2/56566?zyy
🇫🇷 INFO SPORT SD	00!0!2/56530?zyy
🇫🇷 CANAL+ LIVE 1 FHD	00!0!2/1069960?zyy
🇫🇷 CANAL+ LIVE 1 HD	00!0!2/1019732?zyy
🇫🇷 CANAL+ LIVE 2 FHD	00!0!2/1069961?zyy
🇫🇷 CANAL+ LIVE 2 HD	00!0!2/1019733?zyy
🇫🇷 CANAL+ LIVE 3 FHD	00!0!2/1069962?zyy
🇫🇷 CANAL+ LIVE 3 HD	00!0!2/1019734?zyy
🇫🇷 CANAL+ LIVE 4 FHD	00!0!2/1069963?zyy
🇫🇷 CANAL+ LIVE 4 HD	00!0!2/1019735?zyy
🇫🇷 CANAL+ LIVE 5 FHD	00!0!2/1069964?zyy
🇫🇷 CANAL+ LIVE 5 HD	00!0!2/1019736?zyy
🇫🇷 CANAL+ LIVE 6 FHD	00!0!2/1069965?zyy
🇫🇷 CANAL+ LIVE 6 HD	00!0!2/1019737?zyy
🇫🇷 CANAL+ LIVE 7 FHD	00!0!2/1069966?zyy
🇫🇷 CANAL+ LIVE 7 HD	00!0!2/1019738?zyy
🇫🇷 CANAL+ LIVE 8 FHD	00!0!2/1069967?zyy
🇫🇷 CANAL+ LIVE 8 HD	00!0!2/1019739?zyy
🇫🇷 CANAL+ LIVE 9 FHD	00!0!2/1069968?zyy
🇫🇷 CANAL+ LIVE 9 HD	00!0!2/1019740?zyy
🇫🇷 CANAL+ LIVE 10 FHD	00!0!2/1069969?zyy
🇫🇷 CANAL+ LIVE 10 HD	00!0!2/1019741?zyy
🇫🇷 CANAL+ LIVE 11 FHD	00!0!2/1069970?zyy
🇫🇷 CANAL+ LIVE 11 HD	00!0!2/1019742?zyy
🇫🇷 CANAL+ LIVE 12 FHD	00!0!2/1069971?zyy
🇫🇷 CANAL+ LIVE 12 HD	00!0!2/1019743?zyy
🇫🇷 CANAL+ LIVE 13 FHD	00!0!2/1069972?zyy
🇫🇷 CANAL+ LIVE 13 HD	00!0!2/1019744?zyy
🇫🇷 CANAL+ LIVE 14 FHD	00!0!2/1069973?zyy
🇫🇷 CANAL+ LIVE 14 HD	00!0!2/1019745?zyy
🇫🇷 CANAL+ LIVE 15 FHD	00!0!2/1069975?zyy
🇫🇷 CANAL+ LIVE 15 HD	00!0!2/1019746?zyy
🇫🇷 CANAL+ LIVE 16 FHD	00!0!2/1069976?zyy
🇫🇷 CANAL+ LIVE 16 HD	00!0!2/1019747?zyy
🇫🇷 CANAL+ LIVE 17 FHD	00!0!2/1069977?zyy
🇫🇷 CANAL+ LIVE 17 HD	00!0!2/1019748?zyy
🇫🇷 CANAL+ LIVE 18 FHD	00!0!2/1069978?zyy
🇫🇷 CANAL+ LIVE 18 HD	00!0!2/1019749?zyy
🇫🇷 CANAL+ LIVE 19 FHD	00!0!2/1069979?zyy
🇫🇷 CANAL+ LIVE 19 HD	00!0!2/1019750?zyy
🇫🇷 EQUIPE LIVE 1 FHD	00!0!2/330265?zyy
🇫🇷 EQUIPE LIVE 1 HD	00!0!2/737356?zyy
🇫🇷 EQUIPE LIVE 2 FHD	00!0!2/330264?zyy
🇫🇷 EQUIPE LIVE 2 HD	00!0!2/737381?zyy
🇫🇷 L'ÉQUIPE LIVE 3 FHD	00!0!2/923147?zyy
🇫🇷 L'ÉQUIPE LIVE 3 HD	00!0!2/923148?zyy
🇫🇷 L'ÉQUIPE LIVE 4 FHD	00!0!2/923149?zyy
🇫🇷 L'ÉQUIPE LIVE 4 HD	00!0!2/923150?zyy
🇫🇷 L'ÉQUIPE LIVE 5 FHD	00!0!2/923151?zyy
🇫🇷 L'ÉQUIPE LIVE 5 HD	00!0!2/923152?zyy
🇫🇷 L'ÉQUIPE LIVE 6 FHD	00!0!2/923153?zyy
🇫🇷 L'ÉQUIPE LIVE 6 HD	00!0!2/923154?zyy
🇫🇷 L'ÉQUIPE LIVE 7 FHD	00!0!2/923155?zyy
🇫🇷 L'ÉQUIPE LIVE 7 HD	00!0!2/923156?zyy
🇫🇷 L'ÉQUIPE LIVE 8 FHD	00!0!2/923157?zyy
🇫🇷 L'ÉQUIPE LIVE 8 HD	00!0!2/923158?zyy
🇫🇷 L'ÉQUIPE LIVE 9 FHD	00!0!2/923159?zyy
🇫🇷 L'ÉQUIPE LIVE 9 HD	00!0!2/923160?zyy
🇫🇷 L'ÉQUIPE LIVE 10 FHD	00!0!2/923161?zyy
🇫🇷 L'ÉQUIPE LIVE 10 HD	00!0!2/923162?zyy
🇫🇷 EQUIPE 21 FHD	00!0!2/56642?zyy
🇫🇷 EQUIPE 21 HEVC	00!0!2/56567?zyy
🇫🇷 EQUIPE 21 SD	00!0!2/56531?zyy
🇫🇷 L'EQUIPE LIVE FOOT FHD	00!0!2/1140768?zyy
🇫🇷 L'EQUIPE LIVE FOOT HD	00!0!2/1140769?zyy
🇫🇷 L'EQUIPE LIVE FOOT SD	00!0!2/1140770?zyy
🇫🇷 RMC SPORT 1 FHD	00!0!2/56671?zyy
🇫🇷 RMC SPORT 1 FHD²	00!0!2/157017?zyy
🇫🇷 RMC SPORT 1 HEVC	00!0!2/56596?zyy
🇫🇷 RMC SPORT 1 HEVC²	00!0!2/157027?zyy
🇫🇷 RMC SPORT 1 SD	00!0!2/56560?zyy
🇫🇷 RMC SPORT 2 FHD	00!0!2/349337?zyy
🇫🇷 RMC SPORT 2 FHD²	00!0!2/163513?zyy
🇫🇷 RMC SPORT 2 HEVC	00!0!2/56595?zyy
🇫🇷 RMC SPORT 2 SD	00!0!2/56559?zyy
🇫🇷 RMC SPORT LIVE 3 FHD	00!0!2/215571?zyy
🇫🇷 RMC SPORT LIVE 3 HEVC	00!0!2/215572?zyy
🇫🇷 RMC SPORT LIVE 3 SD	00!0!2/215573?zyy
🇫🇷 RMC SPORT LIVE 4 FHD	00!0!2/215574?zyy
🇫🇷 RMC SPORT LIVE 4 HEVC	00!0!2/215575?zyy
🇫🇷 RMC SPORT UHD	00!0!2/152649?zyy
🇫🇷 RMC TALK SPORT FHD	00!0!2/829615?zyy
🇫🇷 RMC TALK SPORT HD	00!0!2/829614?zyy
🇫🇷 EUROSPORT 1 FHD	00!0!2/56652?zyy
🇫🇷 EUROSPORT 1 HEVC	00!0!2/56577?zyy
🇫🇷 EUROSPORT 1 SD	00!0!2/56541?zyy
🇫🇷 EUROSPORT 2 FHD	00!0!2/56651?zyy
🇫🇷 EUROSPORT 2 HEVC	00!0!2/56576?zyy
🇫🇷 EUROSPORT 2 SD	00!0!2/56540?zyy
🇫🇷 EUROSPORT 360 1 FHD	00!0!2/210229?zyy
🇫🇷 EUROSPORT 360 2 FHD	00!0!2/210230?zyy
🇫🇷 EUROSPORT 360 3 FHD	00!0!2/210231?zyy
🇫🇷 EUROSPORT 360 4 FHD	00!0!2/210232?zyy
🇫🇷 EUROSPORT 360 5 FHD	00!0!2/210233?zyy
🇫🇷 EUROSPORT 360 6 HD	00!0!2/957682?zyy
🇫🇷 EUROSPORT 360 7 HD	00!0!2/957683?zyy
🇫🇷 EUROSPORT 360 8 HD	00!0!2/957684?zyy
🇫🇷 SKWEEK LIVE 1 FHD	00!0!2/330755?zyy
🇫🇷 SKWEEK LIVE 2 FHD	00!0!2/330756?zyy
🇫🇷 SKWEEK LIVE 3 FHD	00!0!2/330757?zyy
🇫🇷 SKWEEK LIVE 4 FHD	00!0!2/330758?zyy
🇫🇷 SKWEEK LIVE 5 FHD	00!0!2/330759?zyy
🇫🇷 SKWEEK LIVE 6 FHD	00!0!2/330760?zyy
🇫🇷 SKWEEK LIVE 7 FHD	00!0!2/330761?zyy
🇫🇷 SKWEEK LIVE 8 FHD	00!0!2/330762?zyy
🇫🇷 FFF TV 01	00!0!2/766550?zyy
🇫🇷 FFF TV 02	00!0!2/766551?zyy
🇫🇷 FFF TV 03	00!0!2/766552?zyy
🇫🇷 FFF TV 04	00!0!2/766553?zyy
🇫🇷 FFF TV 05	00!0!2/766554?zyy
🇫🇷 FFF TV 06	00!0!2/766556?zyy
🇫🇷 FFF TV 07	00!0!2/766557?zyy
🇫🇷 OL TV FHD	00!0!2/56643?zyy
🇫🇷 OL TV HEVC	00!0!2/56568?zyy
🇫🇷 OL TV SD	00!0!2/56532?zyy
🇫🇷 OLYMPIA FHD	00!0!2/79396?zyy
🇫🇷 OLYMPIA HEVC	00!0!2/79394?zyy
🇫🇷 OLYMPIA SD	00!0!2/79395?zyy
🇫🇷 TRACE SPORT STARS FHD	00!0!2/231636?zyy
🇫🇷 TRACE SPORT STARS HEVC	00!0!2/231644?zyy
🇫🇷 TRACE SPORT STARS SD	00!0!2/231649?zyy
🇫🇷 AUTO MOTO FHD	00!0!2/56637?zyy
🇫🇷 AUTO MOTO HEVC	00!0!2/56562?zyy
🇫🇷 AUTO MOTO SD	00!0!2/56526?zyy
🇫🇷 EQUIDIA FHD	00!0!2/56639?zyy
🇫🇷 EQUIDIA HEVC	00!0!2/56564?zyy
🇫🇷 EQUIDIA SD	00!0!2/56528?zyy
🇫🇷 ROLAND GARROS FHD	00!0!2/1229207?zyy
🇫🇷 ROLAND GARROS HD	00!0!2/1229208?zyy
🇫🇷 EVENEMENT SPORT UHD 4K	00!0!2/1044111?zyy
🇫🇷 AUTOMOTO LA CHAINE FHD	00!0!2/1231356?zyy
🇫🇷 DAZN LIGUE 01 FHD	00!0!2/252948?zyy
🇫🇷 DAZN LIGUE 01 HEVC	00!0!2/267633?zyy
🇫🇷 DAZN LIGUE 01 HD	00!0!2/427919?zyy
🇫🇷 DAZN LIGUE 01 SD	00!0!2/333592?zyy
🇫🇷 DAZN LIGUE 02 FHD	00!0!2/254502?zyy
🇫🇷 DAZN LIGUE 02 HEVC	00!0!2/267635?zyy
🇫🇷 DAZN LIGUE 02 HD	00!0!2/427921?zyy
🇫🇷 DAZN LIGUE 02 SD	00!0!2/333593?zyy
🇫🇷 DAZN LIGUE 03 FHD	00!0!2/254503?zyy
